ask_date,courses,bitsphoto,exam_centers,applicationfees,ask_syllabus,ask_campuses,ask_paperpattern
When will BITSHD be conducted?,what courses offered at bits pilani?,how bits pilani looks?,what are exam centers of bitshd,what is the application fees for bitshd,what is syllabus for bitshd,what are campuses of bits pilani,what is paper pattern for exam
What are the dates for BITSHD?,courses in bits pilani,glimpses of bits pilani,exam centers of bitshd,application fees for hd exam,syllabus for bitshd,which are campuses of bits pilani,paper pattern for bitshd 
When is BITSHD scheduled to be held?,what are the courses at bits pilani,show photo of bits pilani,exam center for bitsat,how much to pay for application fees ,how is exam syllabus for bitshd,how many capmuses of bits pilani,how is paper pattern for bitshd 
Dates for BITSHD?,courses at bits pilani,images of bits pilani,which are the exam centers of bitshd,application fees for bitshd exam,syllabus content for bitshd exam,campuses of bits pilani,paper pattern
When will BITSHD be held?,what branches are there at bits pilani?,how is bits pilani,where bitshd exam is conducted ,how much to pay for bits application form,show me syllabus for exam,total campuses,tell me paper pattern for bitshd 
When will BITSHD be held?,master courses at bits pilani,bitsphoto,cities in which bitshd is conducted,how much should i pay for bits,syllabus for bits exam,campuses,bitshd paper pattern
when is bitshd,courses at bits pilani,how bits pilani looks,where bitshd exam is taken,bits application fees,me computer science syllabus,what are the campuses of bits,how will bw the paper for bits
bitshd,tell me about course in bits,images of bits pilani,all centers of bitshd exam,moned to be paid for application ,what are the subjects to learns for bits exam,in which cities bits pilani is there,bitshd paper pattern
when is bitshd going to be?,show me course here,bits pilani images,bitsat exam centers,application fees,subjects to learn,how many cities do bits pilani exist,pattern of paper
bitshd exam date?,which courses are there for me,photo of bits,bits exam centers,fees,what to learn,tell about campuses of bits,bitshd exam pattern
on which date bitshd will happen?,show all courses,bits pilani photos,exam center for bitsat,fees for application,subjects to learn,bits campuses,pattern of paper
date for bitshd,courses,photo of bits,center for exam,application fees,what subjects to learn,all campuses,paper pattern
bitshd exam date,what are courses in bits,bits image,exam cities,apply fee,learn subjects,how many campus,architeture of paper
bitshd exam schedule,course contents,pic of bits,exam center for bitsat,appicable fee,what to learn for exam,tell about campuses,paper content
